"Age","IMD","rural","Population","tot_pop","Proportion"
"70 to 74",9,"Rural",94944,1361374,0.0697413054752037
"75+",9,"Rural",157873,1361374,0.115965928539843
"Under 1",10,"Rural",8352,1052565,0.00793490188254407
"1 to 4",10,"Rural",40977,1052565,0.0389306123612318
"5 to 9",10,"Rural",60652,1052565,0.0576230446575746
"10 to 14",10,"Rural",65354,1052565,0.0620902272068708
"15 to 19",10,"Rural",60112,1052565,0.0571100122082722
"20 to 24",10,"Rural",45838,1052565,0.0435488544650449
"25 to 29",10,"Rural",43132,1052565,0.040977991857985
"30 to 34",10,"Rural",47212,1052565,0.0448542370304922
"35 to 39",10,"Rural",54537,1052565,0.0518134271992704
"40 to 44",10,"Rural",61895,1052565,0.0588039693510615
"45 to 49",10,"Rural",74090,1052565,0.0703899521644744
"50 to 54",10,"Rural",80122,1052565,0.0761207146352007
"55 to 59",10,"Rural",80110,1052565,0.0761093139141051
"60 to 64",10,"Rural",69010,1052565,0.0655636469006665
"65 to 69",10,"Rural",64055,1052565,0.0608560991482711
"70 to 74",10,"Rural",72673,1052565,0.0690437170151012
"75+",10,"Rural",124444,1052565,0.118229278001834
