"Table 8: Age-specific percentages of health status, by IMD, by sex and age in England, 2021 [Notes 1 to 11]",,,,,,,,,,,,,
"Census 2021, England",,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,
Back to contents (this text contains a link),,,,,,,,,,,,,
Year,Country,Health Status,Sex,Age,IMD Decile,Count,Population,Age-specific Percentage,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Notes,,
2021,England,Very good,Male,1 to 4,4,"106,940","129,520",82.6,82.1,83.1,[z],,
2021,England,Very good,Male,5 to 9,4,"132,850","167,425",79.3,78.9,79.8,[z],,
2021,England,Very good,Male,10 to 14,4,"127,445","167,660",76,75.6,76.4,[z],,
2021,England,Very good,Male,15 to 19,4,"115,960","165,285",70.2,69.8,70.6,[z],,
2021,England,Very good,Male,20 to 24,4,"120,225","195,510",61.5,61.1,61.8,[z],,
2021,England,Very good,Male,25 to 29,4,"126,205","211,350",59.7,59.4,60,[z],,
2021,England,Very good,Male,30 to 34,4,"123,265","219,720",56.1,55.8,56.4,[z],,
2021,England,Very good,Male,35 to 39,4,"102,720","202,045",50.8,50.5,51.2,[z],,
2021,England,Very good,Male,40 to 44,4,"81,950","182,045",45,44.7,45.3,[z],,
2021,England,Very good,Male,45 to 49,4,"70,045","177,510",39.5,39.2,39.8,[z],,
2021,England,Very good,Male,50 to 54,4,"65,920","190,100",34.7,34.4,34.9,[z],,
2021,England,Very good,Male,55 to 59,4,"55,655","183,775",30.3,30,30.5,[z],,
2021,England,Very good,Male,60 to 64,4,"39,880","156,245",25.5,25.3,25.8,[z],,
2021,England,Very good,Male,65 to 69,4,"27,500","129,430",21.2,21,21.5,[z],,
2021,England,Very good,Male,70 to 74,4,"22,565","124,625",18.1,17.9,18.3,[z],,
2021,England,Very good,Male,75 to 79,4,"12,095","86,470",14,13.7,14.2,[z],,
2021,England,Very good,Male,80 to 84,4,"5,795","57,105",10.1,9.9,10.4,[z],,
2021,England,Very good,Male,85 to 89,4,"2,185","31,305",7,6.7,7.3,[z],,
2021,England,Very good,Male,90+,4,785,"14,535",5.4,5,5.8,[z],,
2021,England,Very good,Male,Under 1,5,"24,715","29,075",85,83.9,86.1,[z],,
2021,England,Very good,Male,1 to 4,5,"103,680","123,650",83.8,83.3,84.4,[z],,
2021,England,Very good,Male,5 to 9,5,"130,990","161,985",80.9,80.4,81.3,[z],,
2021,England,Very good,Male,10 to 14,5,"126,665","162,985",77.7,77.3,78.1,[z],,
2021,England,Very good,Male,15 to 19,5,"114,145","158,955",71.8,71.4,72.2,[z],,
2021,England,Very good,Male,20 to 24,5,"114,125","181,255",63,62.6,63.3,[z],,
2021,England,Very good,Male,25 to 29,5,"118,115","194,325",60.8,60.4,61.1,[z],,
2021,England,Very good,Male,30 to 34,5,"117,135","204,780",57.2,56.9,57.5,[z],,
2021,England,Very good,Male,35 to 39,5,"100,040","191,555",52.2,51.9,52.5,[z],,
2021,England,Very good,Male,40 to 44,5,"83,770","177,305",47.2,46.9,47.6,[z],,
2021,England,Very good,Male,45 to 49,5,"73,530","176,720",41.6,41.3,41.9,[z],,
2021,England,Very good,Male,50 to 54,5,"71,535","193,510",37,36.7,37.2,[z],,
2021,England,Very good,Male,55 to 59,5,"62,725","190,775",32.9,32.6,33.1,[z],,
2021,England,Very good,Male,60 to 64,5,"45,895","163,770",28,27.8,28.3,[z],,
2021,England,Very good,Male,65 to 69,5,"32,090","137,640",23.3,23.1,23.6,[z],,
2021,England,Very good,Male,70 to 74,5,"26,980","136,850",19.7,19.5,20,[z],,
2021,England,Very good,Male,75 to 79,5,"15,135","97,900",15.5,15.2,15.7,[z],,
2021,England,Very good,Male,80 to 84,5,"7,290","64,450",11.3,11.1,11.6,[z],,
2021,England,Very good,Male,85 to 89,5,"2,690","35,600",7.6,7.3,7.8,[z],,
2021,England,Very good,Male,90+,5,915,"16,450",5.6,5.2,5.9,[z],,
2021,England,Very good,Male,Under 1,6,"24,690","28,885",85.5,84.4,86.5,[z],,
2021,England,Very good,Male,1 to 4,6,"102,695","121,055",84.8,84.3,85.4,[z],,
2021,England,Very good,Male,5 to 9,6,"131,760","160,140",82.3,81.8,82.7,[z],,
2021,England,Very good,Male,10 to 14,6,"128,685","162,360",79.3,78.8,79.7,[z],,
2021,England,Very good,Male,15 to 19,6,"114,170","155,295",73.5,73.1,73.9,[z],,
2021,England,Very good,Male,20 to 24,6,"110,980","172,030",64.5,64.1,64.9,[z],,
2021,England,Very good,Male,25 to 29,6,"115,480","185,985",62.1,61.7,62.4,[z],,
2021,England,Very good,Male,30 to 34,6,"114,750","196,220",58.5,58.1,58.8,[z],,
2021,England,Very good,Male,35 to 39,6,"100,225","186,705",53.7,53.3,54,[z],,
2021,England,Very good,Male,40 to 44,6,"86,090","176,680",48.7,48.4,49.1,[z],,
2021,England,Very good,Male,45 to 49,6,"78,390","179,015",43.8,43.5,44.1,[z],,
2021,England,Very good,Male,50 to 54,6,"77,360","196,715",39.3,39,39.6,[z],,
2021,England,Very good,Male,55 to 59,6,"69,510","196,160",35.4,35.2,35.7,[z],,
2021,England,Very good,Male,60 to 64,6,"51,635","170,395",30.3,30,30.6,[z],,
2021,England,Very good,Male,65 to 69,6,"36,815","145,020",25.4,25.1,25.6,[z],,
2021,England,Very good,Male,70 to 74,6,"31,115","146,970",21.2,20.9,21.4,[z],,
2021,England,Very good,Male,75 to 79,6,"17,450","106,025",16.5,16.2,16.7,[z],,
2021,England,Very good,Male,80 to 84,6,"8,410","69,565",12.1,11.8,12.3,[z],,
2021,England,Very good,Male,85 to 89,6,"3,145","38,960",8.1,7.8,8.4,[z],,
2021,England,Very good,Male,90+,6,980,"17,940",5.5,5.1,5.8,[z],,
2021,England,Very good,Male,Under 1,7,"22,945","26,635",86.1,85,87.3,[z],,
2021,England,Very good,Male,1 to 4,7,"98,675","114,785",86,85.4,86.5,[z],,
2021,England,Very good,Male,5 to 9,7,"128,880","153,535",83.9,83.5,84.4,[z],,
2021,England,Very good,Male,10 to 14,7,"127,570","157,805",80.8,80.4,81.3,[z],,
2021,England,Very good,Male,15 to 19,7,"113,165","150,505",75.2,74.8,75.6,[z],,
2021,England,Very good,Male,20 to 24,7,"101,710","153,330",66.3,65.9,66.7,[z],,
2021,England,Very good,Male,25 to 29,7,"104,250","166,165",62.7,62.4,63.1,[z],,
2021,England,Very good,Male,30 to 34,7,"104,470","176,815",59.1,58.7,59.4,[z],,
2021,England,Very good,Male,35 to 39,7,"95,215","174,120",54.7,54.3,55,[z],,
2021,England,Very good,Male,40 to 44,7,"85,370","169,520",50.4,50,50.7,[z],,
2021,England,Very good,Male,45 to 49,7,"81,200","176,725",45.9,45.6,46.3,[z],,
